Row Labels,dew,humidity,pressure,temperature,wind-speed,pm25Class
Temuco,5.815306122,92.41530612,1007.092857,6.871428571,1.87755102,4
Rancagua,6.910204082,80.76122449,1017.193878,10.61428571,2.073469388,4
Hanoi,25.35204082,72.98469388,1004.780612,30.00714286,2.321428571,4
Chennai,25.32959184,77.18265306,1009.454082,29.66326531,1.42244898,4
Ghāziābād,25.06632653,73.15612245,1003.321429,29.75,1.119387755,4
Santiago,6.737755102,77.04285714,1017.212245,10.70306122,2.010204082,4
Osorno,5.210204082,88.51020408,1016.163265,7.264285714,2.760204082,4
Hāpur,25.07653061,70.16122449,1003.321429,29.76020408,0.998979592,4
Lucknow,25.84183673,77.22755102,1001.918367,29.12755102,0.557142857,4
New Delhi,25.05612245,76.31632653,1003.321429,29.75,2.413265306,4
Gandhinagar,24.37244898,65.43061224,1003.505102,28.74489796,1.195918367,4
Patna,28.38265306,83.23163265,1001.867347,30.66122449,0.544897959,4
Addis Ababa,13.32222222,81.86777778,1014.937778,16.39888889,2.537777778,4
Muzaffarnagar,25.16122449,70.43333333,1003.321429,29.99081633,0.572916667,4
Chandigarh,25.17346939,90.63571429,967.3035714,29.07142857,1.080612245,4
Delhi,25.13265306,71.58163265,984.0081633,30.52244898,1.023469388,4
Visakhapatnam,25.35625,76.4505618,1002.160825,28.99690722,2.048314607,4
Jaipur,24.17346939,75.00510204,1004.897959,28.94387755,1.055102041,4
Kampala,18.66883117,76.27820513,1017.410256,22.94487179,3.032051282,4
Dushanbe,9.270408163,33.83673469,1011,26.33163265,1.630612245,5
Abu Dhabi,25.04081633,57.64285714,999.5816327,33.87857143,2.955102041,5
Dubai,23.96276596,49.28829787,1000.061702,36.67553191,3.476595745,5
